date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2000-01-01,MUNICIPIO,38020,ES709,ES709A3,ES709A33,14646,39.3,7204,7442,103.3,14434,212,1.45,2009,10315,2322,1404,685,233,13.72,70.43,15.85,41.99,22.51,19.48,115.58,86.52,10.03,29.5,10288.8,142.35,2.06,183,324,982,713,422,2624,13451,552,643,91.84,3.77,4.39
2000-01-01,MUNICIPIO,38021,ES706,ES706A0,ES706A01,2131,43.4,1092,1039,95.15,2019,112,5.26,226,1436,469,252,163,54,10.61,67.39,22.01,48.4,32.66,15.74,207.52,48.19,11.51,34.75,3915.87,54.42,2.86,38,44,98,62,44,286,1952,52,127,91.6,2.44,5.96
2000-01-01,MUNICIPIO,38022,ES709,ES709A2,ES709A23,19977,38.2,9799,10178,103.87,19465,512,2.56,2876,14385,2716,1694,771,251,14.4,72.01,13.6,38.87,18.88,19.99,94.44,105.89,9.24,28.39,9585.8,208.4,5.34,80,450,1502,1147,649,3828,18302,274,1401,91.62,1.37,7.01
2000-01-01,MUNICIPIO,38023,ES709,ES709A1,ES709A10,126543,36.6,62089,64454,103.81,125061,1482,1.17,19758,92523,14262,8870,4083,1309,15.61,73.12,11.27,36.77,15.41,21.35,72.18,138.54,9.18,28.63,10245.2,1235.14,14.47,2503,3377,8914,6673,3929,25396,115152,7025,4366,91,5.55,3.45
2000-01-01,MUNICIPIO,38024,ES707,ES707A0,ES707A04,18190,38.1,8967,9223,102.85,16890,1300,7.15,3019,12391,2780,1611,868,301,16.6,68.12,15.28,46.8,22.44,24.36,92.08,108.6,10.83,31.22,3560.43,510.89,36.51,485,558,1311,881,498,3733,15009,879,2302,82.51,4.83,12.66
2000-01-01,MUNICIPIO,38025,ES709,ES709A2,ES709A21,7000,36.7,3541,3459,97.68,6675,325,4.64,1207,4930,863,535,233,95,17.24,70.43,12.33,41.99,17.51,24.48,71.5,139.86,11.01,27,1405.07,498.2,23.13,202,193,510,409,178,1492,6409,135,456,91.56,1.93,6.51
2000-01-01,MUNICIPIO,38026,ES709,ES709A2,ES709A24,38348,36.7,18999,19349,101.84,37184,1164,3.04,6002,27940,4406,2753,1255,398,15.65,72.86,11.49,37.25,15.77,21.48,73.41,136.22,9.03,28.48,20688.7,185.36,5.63,408,1305,2815,2051,1102,7681,35087,1303,1958,91.5,3.4,5.11
2000-01-01,MUNICIPIO,38027,ES707,ES707A0,ES707A04,7289,40.4,3699,3590,97.05,6318,971,13.32,1060,4945,1284,706,424,154,14.54,67.84,17.62,47.4,25.97,21.44,121.13,82.55,11.99,33.02,13594,53.62,7.14,154,191,465,335,212,1357,5807,188,1294,79.67,2.58,17.75
2000-01-01,MUNICIPIO,38028,ES709,ES709A2,ES709A24,24988,40.2,12022,12966,107.85,22307,2681,10.73,3173,17955,3860,2331,1098,431,12.7,71.85,15.45,39.17,21.5,17.67,121.65,82.2,11.17,28.45,882.59,2831.21,303.77,246,602,1471,1196,705,4220,19078,2520,3390,76.35,10.08,13.57
2000-01-01,MUNICIPIO,38029,ES707,ES707A0,ES707A03,1785,41.6,882,903,102.38,1660,125,7,209,1243,333,163,132,38,11.71,69.64,18.66,43.6,26.79,16.81,159.33,62.76,11.41,39.64,3080.58,57.94,4.06,11,35,96,85,56,283,1314,23,448,73.61,1.29,25.1
